fare_amount,passenger_count,distance_m,pickup_time
7.5,1,1683,19
7.7,1,2457,20
12.9,1,5036,21
5.3,3,1661,08
16.0,5,4475,17
24.5,5,11731,07
9.7,1,2332,09
12.5,1,4889,19
6.5,1,2250,17
3.3,5,302,14
10.9,1,3581,11
6.9,1,1309,22
9.7,2,1716,09
4.9,1,729,09
10.5,2,2515,23
12.0,1,1790,08
4.9,1,1034,00
10.5,1,2490,14
5.0,2,959,23
4.1,2,1261,02
7.7,2,1751,16
12.9,5,6193,22
9.5,1,2736,17
5.0,1,723,06
12.0,1,3229,17
4.9,1,1429,20
7.3,5,2233,02
7.7,1,1895,15
10.5,1,1904,19
11.0,2,3182,20
39.5,4,11356,06
8.1,3,2923,05
5.7,1,1200,16
6.9,1,2635,19
7.7,3,2253,21
29.0,1,9961,17
15.7,1,4826,14
9.0,1,1250,14
4.9,1,798,15
5.4,1,840,22
3.3,1,385,00
8.9,1,2434,08
17.0,1,3127,14
12.0,1,3734,09
13.5,1,4504,10
7.7,1,1557,18
13.3,1,4923,13
7.5,1,1822,02
16.9,1,4523,11
11.0,1,4071,20
6.5,1,1174,22
6.5,1,1292,14
5.3,1,1212,01
4.1,2,872,16
9.0,1,2107,17
17.3,3,5901,11
6.5,2,685,06
20.0,1,5634,20
5.5,1,1032,19
15.5,1,5847,15
8.5,2,3096,11
7.5,1,2068,20
6.9,5,1508,10
21.0,1,3310,14
4.1,2,509,20
5.7,1,1907,01
19.3,1,6152,09
17.3,4,6100,04
12.0,1,1957,09
11.3,1,4580,20
9.7,3,4247,20
4.9,1,904,19
11.0,1,2499,13
3.5,2,419,01
7.7,1,2944,10
5.3,1,1298,18
7.3,1,1805,03
6.5,1,1354,18
5.3,3,1398,18
9.3,1,1085,12
3.7,1,1256,11
4.0,1,1232,13
9.5,1,2177,08
4.5,3,591,20
3.3,1,705,03
30.9,1,11095,09
26.9,1,5518,14
9.0,5,2017,18
4.1,1,573,21
6.5,5,2800,09
43.0,2,11877,18
8.0,5,2151,22
6.0,1,985,01
4.0,1,1705,18
3.7,5,632,21
10.1,2,2520,17
18.0,1,5555,22
5.7,1,1290,18
6.5,1,2203,15
35.3,1,16056,21
6.1,5,1362,17
4.9,1,833,18
6.1,1,2339,22
10.0,1,1764,15
10.5,1,3212,15
8.9,1,1950,18
13.0,5,2399,14
6.9,1,1469,00
9.7,2,1974,09
10.1,2,3740,01
9.7,1,2176,17
5.3,1,1219,12
5.7,1,1152,06
7.5,1,2123,05
10.5,1,3573,16
6.1,1,1567,18
6.5,1,1012,22
7.7,1,3513,13
6.1,2,1784,00
8.9,1,3670,00
9.0,2,3772,01
15.0,1,5060,00
15.0,4,2723,21
12.9,1,4715,14
7.5,1,2179,20
9.5,2,1708,19
5.3,1,1194,12
8.0,1,1639,15
11.3,3,3068,11
38.54,6,9923,09
6.1,1,1373,10
18.0,2,3481,23
6.0,1,1018,11
12.5,1,3611,15
16.5,1,7213,00
5.5,1,919,14
13.7,1,3588,10
8.9,1,3446,18
4.0,5,677,05
4.9,2,1166,17
4.9,1,845,14
8.5,2,1481,13
3.7,1,580,10
6.5,5,1481,09
4.9,1,905,20
9.3,1,2622,16
29.0,1,9360,13
6.5,1,1524,19
8.2,1,1894,20
11.0,3,3079,20
4.5,5,1066,07
9.0,3,3907,02
5.0,1,1323,20
7.3,1,1422,08
9.5,1,2315,02
7.5,1,1659,01
7.7,2,2335,00
9.7,1,3619,21
15.0,1,2954,19
8.0,3,1058,22
13.7,5,5259,19
6.0,1,951,12
7.7,5,2622,21
10.5,1,3654,20
22.0,1,5744,18
7.5,1,1409,20
11.5,5,2373,19
4.5,5,745,20
8.1,1,2037,20
14.5,1,4447,10
18.0,1,6266,23
4.5,1,1136,13
3.3,3,444,20
19.7,1,8305,13
8.1,1,2996,02
6.5,3,1688,12
14.5,5,3419,01
10.5,1,3239,20
8.9,1,1316,16
14.1,1,6323,00
6.1,1,1403,07
7.3,1,1824,10
